"source_entity","source_id","name","source_status","category","supplier_name","marketplace","price_aud","cost_aud","cleanup_lane","needs_review","publish_locked"
"Product","6a51e1cca01cdf1b02d87317","Gannon Waye Coffee Mug","draft","home_garden","","","","","gwm_merch","True","True"
"Product","6a51e1cca01cdf1b02d87318","Gannon Waye Bundle: Journal + Pen + Thermos","draft","other","","","","","gwm_merch","True","True"
"Product","6a51e1cca01cdf1b02d87316","Gannon Waye Signature Hoodie","draft","fashion","","","","","gwm_merch","True","True"
"Product","6a4da9571b5064a6abc641ab","Mini Projector (phone-sized)","draft","electronics","Banggood","","","","maybe","True","True"
"Product","6a2e9548c7fdfb03b3079486","Posture Corrector Brace","draft","sports","AliExpress","","","","maybe","True","True"
"Product","6a1f01a32f5be8c64df2dfb0","Interactive Walking Electronic Pet Toy Realistic Animal Figure Kids Gift","draft","toys","AliExpress Kids Toy Store","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8bf","Drawer Divider Set (8-piece)","draft","organisation","","","","","keep","True","True"
"Product","6a19b5dec939b090c239a8b5","Ganoz Mix Direct Seller Starter Pack","draft","starter_pack","","","","","delete_later","True","True"
"Product","6a19b5dec939b090c239a8c3","Resistance Band Set (5 levels)","draft","fitness","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8b7","Pet Hair Remover Roller","draft","cleaning_home","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8bc","LED Pet Nail Grinder","draft","pet","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8bd","Phone Tripod with Remote","draft","phone_tech","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8ba","Portable Tyre Inflator","draft","car","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8be","Heatless Curling Rod Set","draft","beauty","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8b8","Vegetable Chopper Pro","draft","kitchen","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8c1","Pet Grooming Glove","draft","pet","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8c0","Magnetic Phone Holder (Car Vent)","draft","car","","","","","keep","True","True"
