"DisplayName","DisplayVersion","Publisher","InstallDate","SizeGB","UninstallString"
"Adobe Acrobat (64-bit)","26.001.21691","Adobe","20260627","2.54","MsiExec.exe /I{AC76BA86-1033-FFFF-7760-BC15014EA700}"
"Adobe Creative Cloud","6.9.1.1.3","Adobe Inc.",,"0.03","C:\Program Files (x86)\Adobe\Adobe Creative Cloud\Utils\Creative Cloud Uninstaller.exe"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20260326","0","MsiExec.exe /I{AC76BA86-0804-1033-1959-018244601149}"
"AltTunes version 1.1.5","1.1.5","Softorino Inc.","20260716","0.06","""C:\Program Files\AltTunes\unins000.exe"""
"Antigravity 2.1.4","2.1.4","Google",,"0.49","""C:\Users\ganno\AppData\Local\Programs\antigravity\Uninstall Antigravity.exe"" /currentuser"
"Apple Application Support (32-bit)","8.6","Apple Inc.","20260716","0.13","MsiExec.exe /I{9738288C-21BC-4F54-AB4F-72F059339376}"
"Apple Application Support (64-bit)","8.6","Apple Inc.","20260716","0.15","MsiExec.exe /I{DEB339C1-2687-43AB-816A-8714F3E26846}"
"Audacity 3.7.8","3.7.8","Audacity Team","20260629","0.09","""C:\Program Files\Audacity\unins000.exe"""
"Audacity 4.0 beta.2","4.0.0.261621301","Audacity","20260629","0.25","MsiExec.exe /X{03EDF152-7E34-4032-B349-11642595EA9C}"
"AutoFilter","9.17","Stagecraft Software",,,"""C:\Users\ganno\AppData\Roaming\Stagecraft Software\Uninstallers\uninstall_AutoFilter.exe"""
"Blazio SA-10 version 1.0.1","1.0.1","Blezz Beats","20260716","0.25","""C:\Program Files\Blezz Beats\SA-10\unins000.exe"""
"Canva","1.122.0","Canva Pty Ltd",,"0.65","""C:\Users\ganno\AppData\Local\Programs\Canva\Uninstall Canva.exe"" /currentuser"
"CapCut","9.0.0.3858","Bytedance Pte. Ltd.",,,"""C:\Users\ganno\AppData\Local\CapCut\Apps\uninst.exe"""
"Codespaces","1.0","Google\Chrome","20260613",,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --profile-directory=Default --uninstall-app-id=ohdpglnjenajbohgikjjdjobbbfkipak"
"Copilot","150.0.4078.65","Microsoft Corporation","20260714","1.99","""C:\Program Files (x86)\Microsoft\Copilot\Application\150.0.4078.65\Installer\copilot_setup.exe"" --uninstall --mscopilot --channel=stable --system-level --verbose-logging"
"Cursor (User)","3.7.36","Anysphere","20260614","1.03","""C:\Users\ganno\AppData\Local\Programs\cursor\unins000.exe"""
"Decipher TextMessage","27.0.0","Decipher Media","20260716","0.2","MsiExec.exe /X{604EE481-6D39-4BD1-9140-AD41A72E6061}"
"Dell SupportAssist OS Recovery Plugin for Dell Update","5.5.15.1","Dell Inc.","20260316","0.05","MsiExec.exe /I{2BB71BFE-FF34-474D-93A6-1C271DF5960A}"
"Dell SupportAssist Remediation","5.4.3.15137","Dell Inc.","20210903","0.05","MsiExec.exe /I{61A1B864-0DAF-45A4-8184-5A0D347803B1}"
"Deno","2.8.3","Deno Land Inc.","20260618",,"winget uninstall --product-code DenoLand.Deno_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20210903","0","MsiExec.exe /I{10BAD5DD-9DA8-4620-9146-334A071A2665}"
"Epson Connect Printer Setup","1.4.11","Seiko Epson Corporation","20260331","0.01","MsiExec.exe /X{D9B1D51B-EB56-410D-AEB5-1CCFAC4B6C8C}"
"Epson Event Manager","3.11.85","Seiko Epson Corporation","20260331","0.07","MsiExec.exe /X{F2B10AC1-7566-4996-BDB1-D9C7516F59F0}"
"EPSON Manuals","1.57.0.0","Seiko Epson Corporation","20260331","0","MsiExec.exe /I{84CECC1B-21EF-41B1-9A91-3E724E5D99D3}"
"Epson Photo+","4.0.4.0","Seiko Epson Corporation","20260617","0.05","MsiExec.exe /I{7567FF8A-79D8-4B03-B03C-4EBBB7AC9433}"
"Epson Printer Connection Checker","3.4.4.0","Seiko Epson Corporation","20260531","0.01","MsiExec.exe /X{D9B5302D-6EB7-4735-AA44-4416796B6652}"
"Epson Scan 2",,"Seiko Epson Corporation",,,"C:\Program Files (x86)\epson\Epson Scan 2\Setup\setup.exe /R"
"EPSON Scan OCR Component","3.00.06","Seiko Epson Corporation","20260702","0.09","MsiExec.exe /X{C37347BC-7549-47A6-8E7A-806A6751981E}"
"Epson ScanSmart","3.7.20","Seiko Epson Corporation","20260416","0.13","MsiExec.exe /X{DBC51435-B111-40AF-A25A-9E8FAD6F77A4}"
"Epson Software Updater","5.1.0","Seiko Epson Corporation","20260701","0.01","MsiExec.exe /X{7916C864-A6CA-43D8-B8E6-ECC712272055}"
"EPSON XP-4100 Series Printer Uninstall",,"Seiko Epson Corporation",,,"C:\WINDOWS\system32\spool\DRIVERS\x64\3\E_YINSWDE.EXE /R /APD /P:""EPSON XP-4100 Series"""
"EpsonNet Print","3.2.0.0","Seiko Epson Corporation","20260405","0.02","MsiExec.exe /X{92DCE546-2A73-4BCF-ADA5-0E6BD95E6B61}"
"Fusion Service","2.2.14.0","Dell.Inc",,"0.12","""C:\ProgramData\Package Cache\{6e578348-d226-4341-a69f-26274feac293}\FusionService.exe""  /uninstall"
"Fusion Service","2.2.14.0","Dell.Inc","20260330","0.09","MsiExec.exe /X{93D141B9-9B5E-485B-8ED1-97DE741EE768}"
"gFractor version 1.2.0","1.2.0","Growl Audio","20260629","0.02","""C:\Program Files\Common Files\VST3\unins000.exe"""
"Git","2.54.0","The Git Development Community","20260528","0.33","""C:\Program Files\Git\unins000.exe"""
"GitHub Desktop","3.5.12","GitHub, Inc.","20260606","0.18","""C:\Users\ganno\AppData\Local\GitHubDesktop\Update.exe"" --uninstall"
"Google Chrome","150.0.7871.125","Google LLC","20260520","0.46","MsiExec.exe /X{692B282C-C40F-3C80-A657-46EA96374B73}"
"Google Drive","128.0.0.0","Google LLC",,,"C:\Program Files\Google\Drive File Stream\128.0.0.0\uninstall.exe"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20210903","0.08","MsiExec.exe /I{51F1A74C-6447-4B19-BE55-90D80578C8F0}"
"Intel(R) Management Engine Components","2118.15.0.2277","Intel Corporation",,"0.09","""C:\ProgramData\Intel Package Cache {1CEAC85D-2590-4760-800F-8DE5E91F3700}\Setup.exe"" -uninstall"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20210903","0.01","MsiExec.exe /I{09FBB991-5EBC-46E7-A83C-8EAE31E53A83}"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20210903","0","MsiExec.exe /I{47D128D9-994B-4427-AF01-176823EDE7CA}"
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20210903","0","MsiExec.exe /I{3057FE70-17D5-4288-A926-35565A687CB5}"
"Logitech G HUB","2026.3.880543","Logitech",,,"""C:\Program Files\LGHUB\lghub_software_manager.exe"""
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0","MsiExec.exe /X{FE436680-E3E9-4BDB-A1C9-AA9DCD76752F}"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0","MsiExec.exe /X{6B3BE514-B565-442C-9BA8-28E5B162E038}"
"Microsoft .NET Runtime - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0.07","MsiExec.exe /X{F46044EA-04A3-4472-9368-2915A0C34868}"
"Microsoft 365 - en-us","16.0.20131.20126","Microsoft Corporation",,,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365HomePremRetail.16_en-us_x-none culture=en-us version.16=16.0"
