Title,Version Status,Lyrics Source,Notes,Date Added
Will You Even Listen,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
I'm Still Here,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
I've Been Set Free,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Thankyou,needs_source,Not pasted,Lyrics source required — do not invent lyrics,2026-06-23
Because of You,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Broken Inside,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Stand By Me Now,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Killing Both Our Hearts,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
I Found Me,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
So Arrogant,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Letting Go,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
You're My Mum,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
All I Ever Wanted,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Unexpected,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
One Day,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
Run,needs_source,Not pasted,Lyrics source required — paste lyrics text,2026-06-23
