Title,Version Status,Needs Review,Sensitive,Explicit,Unresolved,Source,Date Added
Will You Even Listen,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
Without You Here,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
I'm Still Here,draft,Yes,Yes,No,Yes,pasted by Gannon,2026-06-23
I've Been Set Free,draft,Yes,Yes,No,Yes,pasted by Gannon,2026-06-23
Thankyou,needs_source,Yes,No,No,No,pasted by Gannon,2026-06-23
Because of You,draft,Yes,Yes,No,Yes,pasted by Gannon,2026-06-23
Broken Inside,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
Stand By Me Now,draft,Yes,Yes,No,Yes,pasted by Gannon,2026-06-23
Killing Both Our Hearts,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
I Found Me,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
So Arrogant,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
Letting Go,draft,Yes,No,No,No,pasted by Gannon,2026-06-23
You're My Mum,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
All I Ever Wanted,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
Unexpected,draft,Yes,No,Yes,No,pasted by Gannon,2026-06-23
One Day,draft,Yes,Yes,No,No,pasted by Gannon,2026-06-23
Run,draft,Yes,No,No,No,pasted by Gannon,2026-06-23
