Title,Version Status,Sensitive Flag,Reason,Date Added
Will You Even Listen,draft,Yes,Emotional distress themes (storm in my mind, tearing me apart),2026-06-23
Without You Here,draft,Yes,Tribute to late mother — grief and emotional sensitivity,2026-06-23
I'm Still Here,draft,Yes,References grief (mum) and self-harm themes (nights I didn't wanna stay),2026-06-23
I've Been Set Free,draft,Yes,References abuse, narcissistic behavior, evil soul,2026-06-23
Because of You,draft,Yes,References abandonment, betrayal, substance use (high that day, rehab),2026-06-23
Broken Inside,draft,Yes,References mental health struggles, paranoia, fighting demons,2026-06-23
Stand By Me Now,draft,Yes,References emotional pain, killing me,2026-06-23
Killing Both Our Hearts,draft,Yes,References emotional neglect, relationship breakdown, mental health,2026-06-23
I Found Me,draft,Yes,References narcissistic abuse, sociopath, psychopath, wishing you were dead,2026-06-23
So Arrogant,draft,Yes,References emotional abuse, cruelty, executioner,2026-06-23
You're My Mum,draft,Yes,References grief, loss of mother, break down, emotional distress,2026-06-23
All I Ever Wanted,draft,Yes,References heartbreak, betrayal, emotional distress,2026-06-23
One Day,draft,Yes,References revenge, court of the law, justice shall meet,2026-06-23
